Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
7741,P&R,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
9511,ER,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
7499,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
5316,PL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
1471,PL,,E,North 4th St,Crane,,,,0,2023/01/10 10:45:36
9774,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
6084,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
1455,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
5974,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
5437,SP,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:36
0730,MDX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
5288,AT&SF,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
4434,ACL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
5964,NYNH&H,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
6144,B&O,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
1431,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
6325,PRR,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
9710,MDX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
1976,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
2876,B&A,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
8214,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
6956,NYC,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
5762,NYNH&H,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
0771,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
2279,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
7441,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
0823,NYC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
5377,ER,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
3236,MDX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
1505,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
5507,WCC,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
6550,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
3995,DL&W,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
1789,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
2673,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:36
8767,NYNH&H,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:36
